Model,PSNR,SSIM,LPIPS,Latency_Mean_ms,Latency_Median_ms,Parameters
Bicubic,22.726247802376747,0.5240540367088262,0.45433694396633656,0.23,0.00,0
Phase 04 ResUNet,27.820879202336073,0.7388449060674529,0.3233881456661038,17.10,13.00,1187406
Phase 06 E06-D,28.540804464370012,0.7603752139563354,0.2887629321659915,35.12,33.57,1026766
Phase 09 E06-D + Grad,27.477382630109787,0.7584389330251711,0.3043879658682272,UNVERIFIED,UNVERIFIED,1026766
