Model,PSNR,SSIM,LPIPS
Bicubic,22.726247802376747,0.5240540367088262,0.45433694396633656
Phase 04 ResUNet,27.820879202336073,0.7388449060674529,0.3233881456661038
Phase 06 E06-D,28.540804464370012,0.7603752139563354,0.2887629321659915
