Model,PSNR,SSIM,LPIPS
Phase 04 Baseline,27.820879202336073,0.7388449060674529,0.3233881456661038
E06-D,28.540804464370012,0.7603752139563354,0.2887629321659915
E06-D + Gradient Loss,27.477382630109787,0.7584389330251711,0.3043879658682272
